,tanggal,sentiment,topic,text
101,9/24/2021,netral,pelayanan,dipastikan dengan packing yang kuat dikarenakan untuk saat ini kami no claim dengan estimasi waktu pengiriman 2 hari kerja tergantung ketersediaan space di ka informasi detail silahkan mengunjungi atau menghubungi kai logistik express yogyakarta yang tersedia
102,9/24/2021,netral,lain,untuk perhitungan volumetrik satuan cm di pxlxt4000 dan hasilnya akan menjadi total timbangannya estimasi biaya kirim paket dengan service station to station dari yogyakarta tujuan bekasi untuk 110kg pertama rp 50000 dan 1kg berikutnya rp 3100
103,9/24/2021,netral,lain,hai selamat malam kami informasikan untuk pengiriman paket dari yogyakarta tujuan bekasi tersedia untuk perhitungan pengiriman paket menggunakan dua perhitungan volumetrik satuan cm dan kg tergantung hasil terbesarnya
104,9/24/2021,netral,lain,sebaiknya lakukan koordinasi juga dengan aparat berwenang setempat kalau tidak salah ada kantor polisi juga dekat situ ya dan perhatikan juga ada petugas lain saat sore tadi yang sebetulnya dia adalah orang yang suka membuka jalan kendaraan berlawanan
105,9/24/2021,netral,syarat,apa bener harga antigen turun tapi harus punya kereta
106,9/24/2021,positif,pelayanan,terima kasih atas oleh oleh kerennya selamat atas launching percepatan waktu tempuh dan layanan kereta api maju terus pantang mundur
107,9/24/2021,netral,lain,min balas aku keburu aku kesal nih
108,9/24/2021,negatif,lain,kayak yang iya aja sok jago udah ditangkap polisi mah lemes
109,9/24/2021,positif,lain,i love you kai
110,9/24/2021,netral,lain,pelanggar kayak gini bisa dilaporin tidak sih soalnya ngebahayain nyawa dia dan orang lain
111,9/24/2021,netral,lain,wkwk kebiasaan jadi anak rumahan aku om
112,9/24/2021,netral,syarat,rapid antigen di stasiun bojonegoro mulai jam berapa min
113,9/24/2021,positif,lain,gaya mamen ini
114,9/24/2021,netral,aturan,halo min ini seriusan ka dhoho penataran kursi 3 orang diisi 3 orang juga tidak dikasi space gitu buat jarak
115,9/24/2021,netral,pelayanan,min tarif kirim paket yogyakarta ke bekasi berapa
116,9/24/2021,netral,jadwalrute,kapan kereta semarang purwokerto mulai beroperasi terima kasih
117,9/24/2021,netral,lain,cek pesan min
118,9/24/2021,netral,lain,kircon mah teuas
119,9/24/2021,netral,lain,duh jauh ya sekitaran cakung gaada info mas
120,9/24/2021,netral,ticketing,selamat malam ijin bertanya saya melakukan pembelian tiket ka lokal di aplikasi tapi setelah saya cek tertulis di e tiket saya belum vaksinasi itu bagaimana ya sedangkan saya sudah divaksinasi
121,9/24/2021,netral,lain,kalo stasiun sidoarjo sama
122,9/24/2021,netral,pelayanan,min mau telfon cs tapi kok tidak bisa ya malah bilangnya tidak ada izin untuk telfon nomor tidak terdaftar
123,9/24/2021,netral,lain,oh oke
124,9/24/2021,netral,ticketing,min aplikasinya kok load lama banget buat beli tiket tidak muncul qris terus bayarnya gimana masa harus beli offline
125,9/24/2021,netral,jadwalrute,min ka kertajaya dari staisun pasar turi jadwal september ini tanggal berapa aja ya
126,9/24/2021,netral,lain,tunggu aku sobi
127,9/24/2021,netral,jadwalrute,malam min mau tanya untuk ka blora jaya dan ambarawa kapan bisa beroperasi kembali
128,9/24/2021,netral,lain,kayaknya di tiap stasiun kalau ada keberangkatan ya ada terus sih mba setiap hari
129,9/24/2021,netral,aturan,sore ini ka dharmawangsa semarang tawang surabaya pasar turi para penumpang sudah bermasker bahkan ada yang dobel tapi tidak sedikit yang maskernya di pakai menutupi dagu bukan hidung dan mulut semoga bisa mendisiplinkan hal hal ini
130,9/24/2021,netral,lain,kenapa orang teh
131,9/24/2021,netral,pelayanan,sayang ada 1 yang kurang di dalam kereta tidak ada petugas satgas yang mengingat kan untuk menggunakan masker dengan baik
132,9/24/2021,netral,syarat,setelah sekian lama tidak naik kereta lagi ternyata bener bener beradaptasi di tengah pandemi pengecekan status swab dan vaksin kapasitas di batasi pembagian masker
133,9/24/2021,netral,lain,orang kayak gini seharusnya tinggal di hutan aja anti ketertiban dan peradaban
134,9/24/2021,netral,syarat,ini kalau stasiun sidoarjo test antigen nya buka dan tutup jam berapa
135,9/24/2021,netral,experience,sudah lama tidak naik kereta semenjak ppkm sekarang dapet masker sama tisu basah ya udah bukan face shield lagi lain kali kalo mau dikasih nasi kfc juga aku tidak nolak
136,9/24/2021,netral,lain,region bronx of bandung 2159 tea kiaracondong
137,9/24/2021,negatif,lain,paling juga minta maaf sambil nangis punten pak saya lagi mabok
138,9/24/2021,netral,lain,terima kasih dukungannya kepada kami salam kemanusiaan salam sehat selalu ln
139,9/24/2021,netral,syarat,untuk stasiun yang sudah ada test antigen nya kita harus datang berapa jam sebelum keberangkatan
140,9/24/2021,netral,lain,railmin cek dm
141,9/24/2021,netral,lain,biar apa kayak gitu dikira ganteng kali
142,9/24/2021,netral,lain,masih ada yang di imbau oleh kami tapi tidak menerima yuk biar jangan lawan arus karena kita bukan ikan salmon
143,9/24/2021,netral,experience,pertama mudik pakai setelah sekian lama karena pandemi
144,9/24/2021,netral,jadwalrute,min untuk jadwal pemberangkatan jember purwokerto kapan keluarnya min
145,9/24/2021,netral,aturan,bawa sepeda lipat boleh tidak min
146,9/24/2021,netral,lain,yah belum beruntung berarti itu juga saya nyoba di k1 18 konek dan kecepatanya lumayan
147,9/24/2021,netral,fasilitas,kereta stainless dipasang wifi dulu pernah mencoba wifi di ka sriwijaya tapi ya tidak connect connect
148,9/24/2021,netral,ticketing,saya sudah bayar kai access dan sudah terpotong tapi tiket masih kosong
149,9/24/2021,netral,ticketing,selamat malam saya ingin mengganti nomor saya yang terdaftar di kai access mohon bantuannya
150,9/24/2021,netral,syarat,halo min di stasiun tugu ada pelayanan swab antigen
151,9/24/2021,netral,lain,min tolong cek dm dong makasih
152,9/24/2021,netral,lain,cek dm min
153,9/24/2021,netral,jadwalrute,min ka maharani per oktober tidak beroperasi ya surabaya pasar turi semarang tawang
154,9/24/2021,netral,syarat,min antigen di cikampek sampai jam berapa ya saya mau naik harina
155,9/24/2021,netral,lain,alhamdulillah
156,9/24/2021,netral,lain,oh krl tulisan tidak jelas
157,9/24/2021,netral,experience,udah kak tadi aku ke purwakarta dari cikampek udah bisa kok berasa sultan karna 1 gerbong cuma sendiri sepi banget
158,9/24/2021,netral,ticketing,saya sudah update kai access tapi tidak bisa pesan tiket
159,9/24/2021,netral,syarat,layanan swab antigen di stasiun tawang semarang sampai jam berapa min
160,9/24/2021,negatif,pelayanan,suatu misteri kenapa di kai tidak jual nasi padang dijamin semua orang suka tidak hanya nasgor dan mie yang tidak enak itu gimana pak
161,9/24/2021,negatif,syarat,sistem check in itu kan udah terintegrasi sama pedulilindungi tinggal scan tiket nanti keluar status vaksin sama hasil rapid di layar tukang jaga gate lah terus kenapa masih haru buka aplikasi pedulilindungi lagi buang waktu hadeuh
162,9/24/2021,netral,syarat,min rapid test di stasiun gambir buka dari jam berapa sampai jam berapa ya
163,9/24/2021,netral,experience,lewati kuburan kereta naik ka lokal walahar ekspres jarang penumpang dari stasiun cikarang ke purwakarta
164,9/24/2021,netral,ticketing,dah kebeli pake aplikasi link aja duit udah berkurang tiket tidak muncul dah
165,9/24/2021,netral,lain,jelaslah lah orang harganya 400an ribu coba deh kereta dharmawangsa atau kertajaya yang dipercepat yang harga merakyat itu
166,9/24/2021,netral,lain,request dong min pembangunan kereta api untuk wilayah bali
167,9/24/2021,netral,lain,cek dm min
168,9/24/2021,netral,jadwalrute,selamat sore mohon info trip kereta ke stasiun klaten dari bandara yia landing pukul 1750 terima kasih
169,9/24/2021,netral,syarat,mohon info kalo naik kereta sekarang butuh surat apa saja selain ktp tiket
170,9/24/2021,netral,lain,di coba lagi gabisa
171,9/24/2021,netral,lain,klinik mitra medika samping toyota auto2000 sekitar pasar induk kramatjati
172,9/24/2021,netral,ticketing,update kai access malah tidak bisa pesan tiket karena ada salah data ktp update ktp di profile tidak bisa gimaan cara update nya
173,9/24/2021,positif,pelayanan,mantap dengan peningkatan pelayanan dan kecepatan kereta semoga menjadi lebih baik kedepannya dan terus meningkat jadi kangen naik kereta kai121 kereta api argo parahyangan
174,9/24/2021,netral,jadwalrute,min info jadwal reguler ka lokal jurusan purwakrta cibatu dong makasih
175,9/24/2021,netral,lain,min cek dm plis
176,9/24/2021,netral,ticketing,ini kenapa ya loading mulu tidak keluar qr kodenya
177,9/24/2021,positif,lain,wah asik
178,9/24/2021,netral,fasilitas,min untuk layanan wifi cuman dibeberapa kereta aja ya
179,9/24/2021,netral,lain,tolong cek dm saya ya min terima kasih
180,9/24/2021,netral,jadwalrute,selamat sore kalo mau tanya jadwal ka bandara yia kemana ya terima kasih
181,9/24/2021,netral,pelayanan,selamat sore terima kasih atas apresiasi yang diberikan hal ini menjadi motivasi kami kembali untuk selalu memberikan pelayanan yang lebih baik demi kenyamanan pengguna jasa krl commuter line
182,9/24/2021,netral,lain,gimana cukup menggembirakan kabar hari ini guys semoga ya hehehe jadi kapan naik kereta api tut tut tut
183,9/24/2021,netral,syarat,min mau tanya kalau tes antigen di stasiun jatibarang sampai pukul berapa ya terus apakah bisa dipakai untuk h1 nya
184,9/24/2021,positif,experience,selain itu petugas juga mengingatkan untuk tetap pakai masker jadi prokes benerbener diteraplikasian dengan baik nih
185,9/24/2021,positif,experience,good joob sekarang semakin dipermudah tinggal scan tiket sudah ada label saya sudah divaksin keren terima kasih anti ribet club
186,9/24/2021,netral,aturan,untuk soal protokol kesehatan jangan ditanya lagi ya guys selama dikereta protokol kesehatan wajib banget dilaksanakan bahkan semua penumpang tuh dikasih masker dan tissue lho
187,9/24/2021,negatif,lain,norak banget ah tidak tau lagu itu
188,9/24/2021,netral,syarat,nah ini menggembirakan banget nih layanan antigen turun harga guys menjadi 45 ribu per penumpang makin terjangkau kan
189,9/24/2021,netral,lain,min cek dm tolong
190,9/24/2021,netral,fasilitas,untuk memberikan kenyamanan penumpang toilet laki laki dan perempuan dipisah
191,9/24/2021,netral,syarat,kereta api probowangi dari pasuruan ke surabaya apakah perlu antigen
192,9/24/2021,netral,lain,saya mention dari kemarin sore terus tadi pagi tidak dibales juga
193,9/24/2021,netral,ticketing,min untuk pembayaran via qris lagi trouble kah kok muter mulu tidak muncul qr nya udah coba 2 kali signal seluler dan wifi lancar
194,9/24/2021,positif,fasilitas,selama perjalanan bisa makan enak dan tempatnya nyaman banget yakin nih kalian tidak mau naik kereta ini btw mbak nya tidak mau noleh itu yang dibelakang haha
195,9/24/2021,netral,jadwalrute,walahar ada jadwalnya min
196,9/24/2021,netral,jadwalrute,hai min mau tanya nih saya tadi cek via website armada dari lempuyangan ke gambir kok tidak tersedia ya min saya tadi juga cek untuk akhir bulan oktober juga kosong apakah sudah tidak ada rute dari lempuyangan ke gambir kah
197,9/24/2021,positif,pelayanan,ini mie godok jawa yang aku pesan guys harganya 35 ribu daging ayam banyak pake telor bebek sayuran irisan cabe rawit mantep banget deh
198,9/24/2021,netral,syarat,nyambi jadi jualan rapid test
199,9/25/2021,netral,syarat,sertifikat vaksin itu wajib mas naik kereta api kan ada peraturannya anak dibawah umur 12 tahun jangan dulu naik kereta api nanti setelah ppkm pasti ada perubahan
200,9/25/2021,netral,jadwalrute,dear mimin apakah kereta malabar tidak beroprasi tanggal 1 oktober tujuan malang yogyakarta terima kasih
201,9/25/2021,positif,lain,enak banget
202,9/25/2021,netral,jadwalrute,mau tanya uda h7 keberangkatan pasar senen blitar ko belum ada jadwal ya
203,9/25/2021,netral,syarat,untuk swab tes di stasiun madiun dari jam berapsa sampai jam berapa ya min
204,9/25/2021,netral,syarat,mohon info jika saya berangkat besok jam 3 sore apakah saya harus antigen jam 3 sore hari ini juga atau saya bisa antigen jam 9 pagi misalnya
205,9/25/2021,netral,lain,dear seharusnya tidak boleh seperti ini kan bisa diperbaiki gantian kan kasihan jika ada yang sakit perut ini di stasiun jember jawa timur
206,9/25/2021,netral,syarat,berarti pertanggal tersebut hanya perlu menunjukan bukti vaksin ya ka seperti swab test gimana
207,9/25/2021,netral,lain,mohon maaf kita beda generasi
208,9/25/2021,netral,fasilitas,itu kalau keluar dari tempat duduk mau ke toilet kalau balik badan dan lihat pintu toilet posisi toilet wanita di kanan kok
209,9/25/2021,netral,lain,akhlak
210,9/25/2021,netral,fasilitas,pagi min saya penumpang kereta api dharmawangsa gerbong eksekutif 2 dan nomer tempat duduk 7d izin bertanya untuk ac gerbong apakah bisa sedikit diangetin dikarenakan ac gerbongnya terlalu dingin
211,9/25/2021,netral,lain,chip iya tidak min
212,9/25/2021,netral,lain,terima kasih infonya min
213,9/25/2021,netral,lain,halo cek dm ya kak thank you
214,9/25/2021,netral,ticketing,halo min mohon info aplikasi kai access dari sore kemarin hingga sekarang saya tidak bisa melakukan pembelian tiket ka lokal bandung raya tertahan di tidak tampilnya qr code dan menunjukan keterangan internal server error 500
215,9/25/2021,netral,lain,min tolong respon tweet saya
216,9/25/2021,negatif,ticketing,min semenjak pake finpay di sistem pembayaran kartu kredit aplikasi kai access selalu gagal terus tolong dibenahi karena di notifikasi kartu kredit saya sudah terpotong tapi booking code hilang dari aplikasi
217,9/25/2021,netral,ticketing,halo min saya bisa masuk akun di aplikasi kai access tapi kok tidak bisa pesan tiket ya tulisannya time has occured berkali kali mohon bantuannya min
218,9/25/2021,netral,ticketing,pemesanan tiket untuk oktober mulai bisa dipesan kapan ya
219,9/25/2021,netral,syarat,hai min untuk layanan rapid antigen di stasiun pasar senen layanannya jam berapa
220,9/25/2021,netral,ticketing,min apakah aplikasi kai access saat ini trouble
221,9/25/2021,netral,lain,yang punya pasar temennya kang mus
222,9/25/2021,netral,lain,wah good news ini di semua rute kereta yang executive kah
223,9/25/2021,netral,lain,preman kancil
224,9/25/2021,netral,lain,cek dm saya min terima kasih
225,9/25/2021,netral,syarat,min mau nanya pelayanan swab di stasiun bekasi beroperasi dari jam berapa ya
226,9/25/2021,netral,jadwalrute,boleh info apakah kereta bekasi bandung atau jakartabandung tanggal 1 oktober beroperasi tiket bisa dipesan kapan terima kasih
227,9/25/2021,netral,lain,here is my rendition for the 76 tahun anniversary of special livery any thoughts in frame livery lokomotif livery gerbong
228,9/25/2021,netral,jadwalrute,kaligung kamandaka kapan min
229,9/25/2021,netral,syarat,swab antigen di gambir dari jam berapa sampai jam berapa
230,9/25/2021,netral,fasilitas,kenapa toilet wanita di kiri harusnya di kanan karenawoman always right eh
231,9/25/2021,netral,lain,aaa good news
232,9/25/2021,netral,jadwalrute,mantau kamandaka kaligung
233,9/25/2021,netral,syarat,min kalau punya tiket ka probowangi apa boleh swab antigen di stasiun
234,9/25/2021,netral,aturan,halo mau tanya apakah di kereta meneraplikasian jaga jarak 1 baris sisi 1 penumpang
235,9/25/2021,netral,lain,oh ya good news dong kalo berlaku di semua stasiun
236,9/25/2021,positif,lain,mantap mimin
237,9/25/2021,netral,jadwalrute,halo pak tolong kai pangrango di aktifkan kembali thank you
238,9/25/2021,netral,lain,hampir semua stasiun berlaku kok kak kalo merujuk ke laman resmi sosmednya
239,9/25/2021,netral,lain,cuma 5 kereta di atas mas seperti dibahas di threadnya
240,9/25/2021,netral,lain,turun
241,9/25/2021,netral,fasilitas,sayangnya layanan bantal dan selimut tidak lagi free
242,9/25/2021,netral,ticketing,malam min mohon maaf mohon penjelasannya setelah update terbaru kai access mengapa untuk pilih kursi selalu time out terima kasih
243,9/25/2021,netral,lain,alhamdulillah terima kasih semoga bisa diberlakukan di semua stasiun tidak cuma di jakarta
244,9/25/2021,netral,lain,daerah beling teas siga rel
245,9/25/2021,netral,fasilitas,gerbong untuk sepeda kapan dibuka untuk semua rute
246,9/25/2021,netral,lain,min tolong bales dm ya
247,9/25/2021,netral,lain,pfft
248,9/25/2021,netral,lain,adain lowongan jadi masinis untuk wanita dong
249,9/25/2021,netral,lain,ditunggu min
250,9/25/2021,netral,aturan,malem mim mau tanya kalo di ka lokal merak apakah boleh bawa sepeda lipat
251,9/25/2021,netral,jadwalrute,min mau tanya durasi perjalanan 7 jam 53 menit itu surabaya ke malang lewat jalur mana
252,9/25/2021,netral,jadwalrute,kangen banget naik kereta anak 1 tahun masih belum boleh naik kereta lagi ya min
253,9/25/2021,netral,lain,oke sama
254,9/25/2021,netral,lain,wih
255,9/25/2021,netral,lain,bahkan sampai detik ini aku juga belum bisa loh
256,9/25/2021,netral,aturan,min kapan kira kira anak anak di bawah 12 tahun diperbolehkan naik kereta api antar kota lagi
257,9/25/2021,netral,lain,selamat malam min tolong cek dm terima kasih
258,9/25/2021,netral,syarat,min rapid test di stasiun tegal buka dari jam berapa sampai jam berapa dan untuk persyaratan menunjukkan kartu vaksin apakah harus dengan kartu atau bisa scan dari aplikasi pedulilindungi terima kasih
259,9/25/2021,netral,fasilitas,cara pakai wifi on board gimana min langsung connect aja atau ada ketentuan khusus
260,9/25/2021,netral,syarat,min kalo semisal mau naik kereta lokal tapi belum vaksin dan tidak punya surat keterangan dari rumah sakit apakah bisa pakai surat test swab antigen
261,9/25/2021,netral,lain,min mohon balas dm min
262,9/25/2021,netral,lain,wah bisa nonton drakor
