,Unnamed: 0,tanggal,sentiment,topic,text
27,27,9/24/2021,negatif,syarat,kebanyakan syarat tanda tanda kebangkrutan terus diambil alih perusahaan asing
28,28,9/24/2021,netral,lain,halo min cek dm ya terima kasih
29,29,9/24/2021,netral,pelayanan,mimin kalau naik kereta tidak di perbolehkan bawa hewan dan harus menggunakan jasa kereta logistik tapi nanti kereta logistik nya berangkat dan sampai waktu nya bareng sama kereta aku tumpangi tidak ya
30,30,9/24/2021,netral,jadwalrute,min kalo ka lodaya dari bandung untuk tanggal atau september available kah
31,31,9/24/2021,netral,syarat,kalau seritfikat vaksin belum keluar gimana ya min
32,32,9/24/2021,netral,ticketing,selamat siang rute purwokerto semarang poncol tiketnya bisa dipesen kapan ya
33,33,9/24/2021,netral,ticketing,min boleh info kereta bekasi bandung atau jakarta bandung tanggal oktober beroperasi tiket bisa dipesan kapan terima kasih
34,34,9/24/2021,netral,lain,poncol dan pasar senen min
35,35,9/24/2021,netral,lain,terima kasih update infonya min
36,36,9/24/2021,netral,jadwalrute,min kereta joglosemarkerto kapan beroperasi lagi
37,37,9/24/2021,positif,lain,good job
38,38,9/24/2021,netral,lain,terima kasih admin
39,39,9/24/2021,netral,jadwalrute,min untuk semarang slawi pakai kereta apa ya terima kasih
40,40,9/24/2021,netral,lain,cek dm
41,41,9/24/2021,netral,syarat,oh ini bekas tempat test genose ya makasih mas
42,42,9/24/2021,netral,jadwalrute,min stasiun ka terdekat dengan desa ngemplak kandangan temanggung jawa ada tidak kalau ada kapan jadwal keberangkatan plis oh iya keberangkatan dari senen ya min terima kasih
43,43,9/24/2021,netral,jadwalrute,halo min kereta joglosemarkerto mulai beroperasi lagi kapan ya terima kasih
44,44,9/24/2021,netral,syarat,bantu pintu utara parkir mobil antigen di stasiun bekasi
45,45,9/24/2021,netral,jadwalrute,perdana naik kereta lokal merak setelah berbulan di off
46,46,9/24/2021,netral,lain,open dm min
47,47,9/24/2021,netral,ticketing,mau tanya saya refund sudah hampir sebulan belum cair cari ya sedangkan teman saya cuma sudah cair itu kenapa ya min
48,48,9/24/2021,netral,syarat,halo min apa test antigen di stasiun buka jam
49,49,9/24/2021,netral,jadwalrute,min kereta krl solo yogyakarta beroperasi kah
50,50,9/24/2021,positif,pelayanan,akhirnya kembali naik ka lokal murah dan nyaman kangen banget loh
51,51,9/24/2021,netral,lain,wagub jabar ajak warga kereta api saat bepergian ini alasannya
52,52,9/24/2021,netral,lain,halo min minta tolong cek dm yah terima kasih
53,53,9/24/2021,netral,jadwalrute,untuk gambir jam operasional nya jam berapa ya
54,54,9/24/2021,netral,syarat,stasiun purwosari untuk jam rapid nya dari jam berapa jam berapa ya
55,55,9/24/2021,netral,lain,sebenarnya bisa aja lebih cepet cuman butuh kemauan dan disiplin saja kurangi waktu berhenti
56,56,9/24/2021,netral,syarat,jadwal tes rapid di stasiun surabaya gubeng apa tetap jam sampai jam min
57,57,9/24/2021,netral,pelayanan,ada nasi sei sapi enak sekarang
58,58,9/24/2021,netral,lain,oke min makasih infonya ya
59,59,9/24/2021,netral,lain,min dm ku belum dibales
60,60,9/24/2021,netral,syarat,mau tanya ada persyaratan khusus tidak buat naik kereta api lokal dari padalarang kiaracondong
61,61,9/24/2021,netral,jadwalrute,semoga turangga dan sancaka segera kebagian menjadi ka percepatan dan ikut menjadi jajaran kereta unggulan ya
62,62,9/24/2021,netral,lain,menu apa koko suka
63,63,9/24/2021,netral,lain,makasih min
64,64,9/24/2021,netral,syarat,pelayanan antigen di stasiun yogyakarta dari jam berapa sampai jam berapa ya
65,65,9/24/2021,netral,lain,min cek dm
66,66,9/24/2021,netral,aturan,berlaku juga untuk kereta bandara soekarno hatta
67,67,9/24/2021,positif,lain,keren nih
68,68,9/24/2021,netral,jadwalrute,selamat siang min mohon informasi kereta purwokerto semarang kapan akan mulai beroperasi lagi ya terima kasih
69,69,9/24/2021,netral,lain,oke terima kasih kondisional ini maksudnya bisa buka jam bisa lebih
70,70,9/24/2021,netral,jadwalrute,min kereta berangkat jam siang dari bekasi cirebon ko tidak ada ya
71,71,9/24/2021,netral,jadwalrute,selamat siang min mau tanya sekarang ka bandara yia udah tidak sampai kebumen ya
72,72,9/24/2021,positif,lain,mantap semakin maju pt kai indonesia makin jaya dan sukses semua sdm makin memiliki jiwa melayani dengan profesional amin
73,73,9/24/2021,netral,pelayanan,saran min menu makan di perbaiki awal kemaren perjalanan kediri gambir makan nasi goreng kurang mantap minggu ini rencana lagi sesuain harga ama rasamakasih
74,74,9/24/2021,netral,syarat,min pelayanan rapid antigen di stasiun kiaracondong dari jam berapa sampai jam berapa
75,75,9/24/2021,netral,ticketing,halo min website dan mobile aplikasi nya bermasalah atau hanya di aku aja ya hiks
76,76,9/24/2021,netral,lain,min tolong cek dm ya
77,77,9/24/2021,netral,ticketing,min untuk pembatalan tiket ka di stasiun tawang ada pelayanan di minggu terima kasih
78,78,9/24/2021,netral,aturan,susahnya naik kereta saat ini aturan berubah ubah tolong beri kenyamanan tanpa harus banyak aturan
79,79,9/24/2021,netral,syarat,hai kalau sudah vaksin tetap antigen untuk naik kah
80,80,9/24/2021,netral,jadwalrute,halo min jadwal ka malabar malang bandung tanggal oktober belum bisa diakses atau gimana ya min
81,81,9/24/2021,netral,ticketing,min kereta harina bandung pasarturi surabaya untuk oktober belum bisa di pesen ya padahal dah kurang 
82,82,9/24/2021,netral,jadwalrute,selamat siang mau tanya ada jadwal keberangkatan kereta api sragen malang untuk tanggal september terima kasih
83,83,9/24/2021,netral,lain,surabaya blitar depan ya kak
84,84,9/24/2021,netral,jadwalrute,halo mimin kerata malabar tanggal jalan apa tidak ya
85,85,9/24/2021,netral,lain,admin harap direspon dm nya ya makasih
86,86,9/24/2021,netral,lain,min tolong cek dm
87,87,9/24/2021,netral,lain,hai min tolong cek dm saya lagi terima kasih
88,88,9/24/2021,netral,lain,mimin saya tidak dibales bales
89,89,9/24/2021,netral,syarat,halo mimin info jam operasional swab di stasiun gambir senen buat sabtu sampai minggu terima kasih
90,90,9/24/2021,positif,fasilitas,mantap nih semoga jakarta sekarang cuman jaman ada wifi on board juga yuk main jakarta semarang yuk
91,91,9/24/2021,netral,jadwalrute,min ka lokal jatiluhur sudah beroperasi lagi tidak ya
92,92,9/24/2021,netral,jadwalrute,admin untuk kereta bangunkarta akan beroperasi lagi di oktober ini
93,93,9/24/2021,netral,jadwalrute,siang min apa kereta api jurusan surabaya lawang sudah ada beroperasi mohon min
94,94,9/24/2021,netral,lain,hati hati bajer banyak
95,95,9/24/2021,positif,lain,benar benar excellent ya
96,96,9/24/2021,netral,aturan,kereta lokal udah bisa buat umum belum min
97,97,9/24/2021,netral,jadwalrute,misi mau nanya apa kereta taksaka yogyakarta gambir jadwal pemberangkatannya tetep sama terima kasih
98,98,9/24/2021,netral,syarat,vaksin min dosis pertama
99,99,9/24/2021,netral,syarat,min mohon info antigen di stasiun madiun sebelah mana ya dan dilayani jam berapa
100,100,9/24/2021,netral,lain,area stasiun tugu jalan pasar kembang no patokan depan arte hotel pertigaan lampu merah pasar kembang deretan gudeg yu djum yogyakarta di nomor jam operasional senin sd sabtu jam sampai minggu libur nasional sampai terima kasih
101,101,9/24/2021,netral,pelayanan,dengan packing kuat dikarenakan untuk saat ini no claim dengan estimasi waktu pengiriman kerja tergantung ketersediaan space di ka informasi detail silahkan mengunjungi atau menghubungi kai logistik express yogyakarta tersedia
102,102,9/24/2021,netral,lain,untuk perhitungan volumetrik satuan cm di pxlxt dan hasilnya akan menjadi total timbangannya estimasi biaya kirim paket dengan service station to station dari yogyakarta tujuan bekasi untuk kg pertama rp dan kg rp 
103,103,9/24/2021,netral,lain,hai selamat malam informasikan untuk pengiriman paket dari yogyakarta tujuan bekasi tersedia untuk perhitungan pengiriman paket menggunakan dua perhitungan volumetrik satuan cm dan kg tergantung hasil terbesarnya
104,104,9/24/2021,netral,lain,sebaiknya lakukan koordinasi juga dengan aparat berwenang kalau tidak salah ada kantor polisi juga dekat situ ya dan perhatikan juga ada petugas lain saat sore tadi sebetulnya orang suka membuka jalan kendaraan berlawanan
105,105,9/24/2021,netral,syarat,apa bener harga antigen turun tapi harus punya kereta
106,106,9/24/2021,positif,pelayanan,terima kasih atas oleh oleh kerennya selamat atas launching percepatan waktu tempuh dan layanan kereta api maju terus pantang mundur
107,107,9/24/2021,netral,lain,min balas aku keburu aku kesal nih
108,108,9/24/2021,negatif,lain,kayak iya aja sok jago udah ditangkap polisi mah lemes
109,109,9/24/2021,positif,lain, love you kai
110,110,9/24/2021,netral,lain,pelanggar kayak gini bisa dilaporin tidak sih soalnya ngebahayain nyawa dan orang lain
111,111,9/24/2021,netral,lain,wkwk kebiasaan jadi anak rumahan aku om
112,112,9/24/2021,netral,syarat,rapid antigen di stasiun bojonegoro mulai jam berapa min
113,113,9/24/2021,positif,lain,gaya mamen ini
114,114,9/24/2021,netral,aturan,halo min ini seriusan ka dhoho penataran kursi orang diisi orang juga tidak dikasi space gitu buat jarak
115,115,9/24/2021,netral,pelayanan,min tarif kirim paket yogyakarta bekasi berapa
116,116,9/24/2021,netral,jadwalrute,kapan kereta semarang purwokerto mulai beroperasi terima kasih
117,117,9/24/2021,netral,lain,cek pesan min
118,118,9/24/2021,netral,lain,kircon mah teuas
119,119,9/24/2021,netral,lain,duh jauh ya sekitaran cakung gaada info mas
120,120,9/24/2021,netral,ticketing,selamat malam ijin bertanya saya melakukan pembelian tiket ka lokal di aplikasi tapi setelah saya cek tertulis di tiket saya belum vaksinasi itu bagaimana ya sedangkan saya sudah divaksinasi
121,121,9/24/2021,netral,lain,kalo stasiun sidoarjo sama
122,122,9/24/2021,netral,pelayanan,min mau telfon cs tapi tidak bisa ya malah bilangnya tidak ada izin untuk telfon nomor tidak terdaftar
123,123,9/24/2021,netral,lain,oh oke
124,124,9/24/2021,netral,ticketing,min aplikasinya load lama banget buat beli tiket tidak muncul qris terus bayarnya gimana masa harus beli offline
125,125,9/24/2021,netral,jadwalrute,min ka kertajaya dari staisun pasar turi jadwal september ini tanggal berapa aja ya
126,126,9/24/2021,netral,lain,tunggu aku sobi
127,127,9/24/2021,netral,jadwalrute,malam min mau tanya untuk ka blora jaya dan ambarawa kapan bisa beroperasi kembali
128,128,9/24/2021,netral,lain,kayaknya di tiap stasiun kalau ada keberangkatan ya ada terus sih mba setiap
129,129,9/24/2021,netral,aturan,sore ini ka dharmawangsa semarang tawang surabaya pasar turi penumpang sudah bermasker ada dobel tapi tidak sedikit maskernya di pakai menutupi dagu bukan hidung dan mulut semoga bisa mendisiplinkan ini
130,130,9/24/2021,netral,lain,kenapa orang teh
131,131,9/24/2021,netral,pelayanan,sayang ada kurang di dalam kereta tidak ada petugas satgas untuk menggunakan masker dengan baik
132,132,9/24/2021,netral,syarat,setelah sekian lama tidak naik kereta lagi bener bener beradaptasi di pandemi pengecekan status swab dan vaksin kapasitas di batasi pembagian masker
133,133,9/24/2021,netral,lain,orang kayak gini seharusnya tinggal di hutan aja anti ketertiban dan peradaban
134,134,9/24/2021,netral,syarat,ini kalau stasiun sidoarjo test antigen nya buka dan tutup jam berapa
135,135,9/24/2021,netral,experience,sudah lama tidak naik kereta semenjak ppkm sekarang dapet masker sama tisu basah ya udah bukan face shield lagi lain kali kalo mau dikasih nasi kfc juga aku tidak nolak
136,136,9/24/2021,netral,lain,region bronx of bandung tea kiaracondong
137,137,9/24/2021,negatif,lain,juga minta maaf nangis punten saya lagi mabok
138,138,9/24/2021,netral,lain,terima kasih dukungannya kepada salam kemanusiaan salam sehat selalu ln
139,139,9/24/2021,netral,syarat,untuk stasiun sudah ada test antigen nya harus berapa jam sebelum keberangkatan
140,140,9/24/2021,netral,lain,railmin cek dm
141,141,9/24/2021,netral,lain,biar apa kayak gitu ganteng kali
142,142,9/24/2021,netral,lain,masih ada di imbau oleh tapi tidak menerima yuk biar jangan lawan arus bukan ikan salmon
143,143,9/24/2021,netral,experience,pertama mudik pakai setelah sekian lama pandemi
144,144,9/24/2021,netral,jadwalrute,min untuk jadwal pemberangkatan jember purwokerto kapan keluarnya min
145,145,9/24/2021,netral,aturan,bawa sepeda lipat boleh tidak min
146,146,9/24/2021,netral,lain,yah belum beruntung itu juga saya nyoba di konek dan kecepatanya lumayan
147,147,9/24/2021,netral,fasilitas,kereta stainless dipasang wifi dulu pernah mencoba wifi di ka sriwijaya tapi ya tidak connect connect
148,148,9/24/2021,netral,ticketing,saya sudah bayar kai access dan sudah terpotong tapi tiket masih kosong
149,149,9/24/2021,netral,ticketing,selamat malam saya mengganti nomor saya terdaftar di kai access mohon bantuannya
150,150,9/24/2021,netral,syarat,halo min di stasiun tugu ada pelayanan swab antigen
151,151,9/24/2021,netral,lain,min tolong cek dm makasih
152,152,9/24/2021,netral,lain,cek dm min
153,153,9/24/2021,netral,jadwalrute,min ka maharani per oktober tidak beroperasi ya surabaya pasar turi semarang tawang
154,154,9/24/2021,netral,syarat,min antigen di cikampek sampai jam berapa ya saya mau naik harina
155,155,9/24/2021,netral,lain,alhamdulillah
156,156,9/24/2021,netral,lain,oh krl tulisan tidak jelas
157,157,9/24/2021,netral,experience,udah kak tadi aku purwakarta dari cikampek udah bisa berasa sultan karna gerbong cuma sendiri sepi banget
158,158,9/24/2021,netral,ticketing,saya sudah update kai access tapi tidak bisa pesan tiket
159,159,9/24/2021,netral,syarat,layanan swab antigen di stasiun tawang semarang sampai jam berapa min
160,160,9/24/2021,negatif,pelayanan,misteri kenapa di kai tidak jual nasi padang dijamin semua orang suka tidak hanya nasgor dan mie tidak enak itu gimana
161,161,9/24/2021,negatif,syarat,sistem check in itu udah terintegrasi sama pedulilindungi tinggal scan tiket nanti keluar status vaksin sama hasil rapid di layar tukang jaga gate terus kenapa masih haru buka aplikasi pedulilindungi lagi buang waktu hadeuh
162,162,9/24/2021,netral,syarat,min rapid test di stasiun gambir buka dari jam berapa sampai jam berapa ya
163,163,9/24/2021,netral,experience,lewati kuburan kereta naik ka lokal walahar ekspres jarang penumpang dari stasiun cikarang purwakarta
164,164,9/24/2021,netral,ticketing,dah kebeli pake aplikasi link aja duit udah berkurang tiket tidak muncul dah
165,165,9/24/2021,netral,lain,orang harganya an ribu coba deh kereta dharmawangsa atau kertajaya dipercepat harga merakyat itu
166,166,9/24/2021,netral,lain,request min pembangunan kereta api untuk wilayah bali
167,167,9/24/2021,netral,lain,cek dm min
168,168,9/24/2021,netral,jadwalrute,selamat sore mohon info trip kereta stasiun klaten dari bandara yia landing terima kasih
169,169,9/24/2021,netral,syarat,mohon info kalo naik kereta sekarang butuh surat apa saja selain ktp tiket
170,170,9/24/2021,netral,lain,di coba lagi gabisa
171,171,9/24/2021,netral,lain,klinik mitra medika samping toyota auto sekitar pasar induk kramatjati
172,172,9/24/2021,netral,ticketing,update kai access malah tidak bisa pesan tiket ada salah data ktp update ktp di profile tidak bisa gimaan update nya
173,173,9/24/2021,positif,pelayanan,mantap dengan peningkatan pelayanan dan kecepatan kereta semoga menjadi lebih baik kedepannya dan terus meningkat jadi kangen naik kereta kai kereta api argo parahyangan
174,174,9/24/2021,netral,jadwalrute,min info jadwal reguler ka lokal jurusan purwakrta cibatu makasih
175,175,9/24/2021,netral,lain,min cek dm plis
176,176,9/24/2021,netral,ticketing,ini kenapa ya loading mulu tidak keluar qr kodenya
177,177,9/24/2021,positif,lain,asik
178,178,9/24/2021,netral,fasilitas,min untuk layanan wifi cuman dibeberapa kereta aja ya
179,179,9/24/2021,netral,lain,tolong cek dm saya ya min terima kasih
180,180,9/24/2021,netral,jadwalrute,selamat sore kalo mau tanya jadwal ka bandara yia kemana ya terima kasih
181,181,9/24/2021,netral,pelayanan,selamat sore terima kasih atas apresiasi ini menjadi motivasi kembali untuk selalu memberikan pelayanan lebih baik kenyamanan pengguna jasa krl commuter line
182,182,9/24/2021,netral,lain,gimana cukup menggembirakan kabar ini guys semoga ya hehehe jadi kapan naik kereta api tut tut tut
183,183,9/24/2021,netral,syarat,min mau tanya kalau tes antigen di stasiun jatibarang sampai berapa ya terus bisa dipakai untuk nya
184,184,9/24/2021,positif,experience,selain itu petugas juga untuk tetap pakai masker jadi prokes benerbener diteraplikasian dengan baik nih
185,185,9/24/2021,positif,experience,good joob sekarang semakin dipermudah tinggal scan tiket sudah ada label saya sudah divaksin keren terima kasih anti ribet club
186,186,9/24/2021,netral,aturan,untuk protokol kesehatan jangan lagi ya guys selama dikereta protokol kesehatan wajib banget dilaksanakan semua penumpang tuh dikasih masker dan tissue lho
187,187,9/24/2021,negatif,lain,norak banget ah tidak tau lagu itu
188,188,9/24/2021,netral,syarat,ini menggembirakan banget nih layanan antigen turun harga guys menjadi ribu per penumpang makin terjangkau
189,189,9/24/2021,netral,lain,min cek dm tolong
190,190,9/24/2021,netral,fasilitas,untuk memberikan kenyamanan penumpang toilet laki laki dan perempuan dipisah
191,191,9/24/2021,netral,syarat,kereta api probowangi dari pasuruan surabaya antigen
192,192,9/24/2021,netral,lain,saya mention dari kemarin sore terus tadi pagi tidak dibales juga
193,193,9/24/2021,netral,ticketing,min untuk pembayaran via qris lagi trouble kah muter mulu tidak muncul qr nya udah coba kali signal seluler dan wifi lancar
194,194,9/24/2021,positif,fasilitas,selama perjalanan bisa makan enak dan tempatnya nyaman banget nih tidak mau naik kereta ini btw mbak nya tidak mau noleh itu dibelakang haha
195,195,9/24/2021,netral,jadwalrute,walahar ada jadwalnya min
196,196,9/24/2021,netral,jadwalrute,hai min mau tanya nih saya tadi cek via website armada dari lempuyangan gambir tidak tersedia ya min saya tadi juga cek untuk akhir oktober juga kosong sudah tidak ada rute dari lempuyangan gambir kah
197,197,9/24/2021,positif,pelayanan,ini mie godok jawa aku pesan guys harganya ribu daging ayam banyak pake telor bebek sayuran irisan cabe rawit mantep banget deh
198,198,9/24/2021,netral,syarat,nyambi jadi jualan rapid test
199,199,9/25/2021,netral,syarat,sertifikat vaksin itu wajib mas naik kereta api ada peraturannya anak dibawah umur jangan dulu naik kereta api nanti setelah ppkm pasti ada perubahan
200,200,9/25/2021,netral,jadwalrute,dear mimin kereta malabar tidak beroprasi tanggal oktober tujuan malang yogyakarta terima kasih
201,201,9/25/2021,positif,lain,enak banget
202,202,9/25/2021,netral,jadwalrute,mau tanya uda keberangkatan pasar senen blitar ko belum ada jadwal ya
203,203,9/25/2021,netral,syarat,untuk swab tes di stasiun madiun dari jam berapsa sampai jam berapa ya min
204,204,9/25/2021,netral,syarat,mohon info saya berangkat besok jam sore saya harus antigen jam sore ini juga atau saya bisa antigen jam pagi
205,205,9/25/2021,netral,lain,dear seharusnya tidak boleh seperti ini bisa diperbaiki gantian kasihan ada sakit perut ini di stasiun jember jawa timur
206,206,9/25/2021,netral,syarat,pertanggal hanya menunjukan bukti vaksin ya ka seperti swab test gimana
207,207,9/25/2021,netral,lain,mohon maaf beda generasi
208,208,9/25/2021,netral,fasilitas,itu kalau keluar dari tempat duduk mau toilet kalau badan dan lihat pintu toilet posisi toilet wanita di kanan
209,209,9/25/2021,netral,lain,akhlak
210,210,9/25/2021,netral,fasilitas,pagi min saya penumpang kereta api dharmawangsa gerbong eksekutif dan nomer tempat duduk izin bertanya untuk ac gerbong bisa sedikit diangetin dikarenakan ac gerbongnya terlalu dingin
211,211,9/25/2021,netral,lain,chip iya tidak min
212,212,9/25/2021,netral,lain,terima kasih infonya min
213,213,9/25/2021,netral,lain,halo cek dm ya kak thank you
214,214,9/25/2021,netral,ticketing,halo min mohon info aplikasi kai access dari sore kemarin sekarang saya tidak bisa melakukan pembelian tiket ka lokal bandung raya tertahan di tidak tampilnya qr code dan menunjukan keterangan internal server error 
215,215,9/25/2021,netral,lain,min tolong respon tweet saya
216,216,9/25/2021,negatif,ticketing,min semenjak pake finpay di sistem pembayaran kartu kredit aplikasi kai access selalu gagal terus tolong dibenahi di notifikasi kartu kredit saya sudah terpotong tapi booking code hilang dari aplikasi
217,217,9/25/2021,netral,ticketing,halo min saya bisa masuk akun di aplikasi kai access tapi tidak bisa pesan tiket ya tulisannya time has occured berkali kali mohon bantuannya min
218,218,9/25/2021,netral,ticketing,pemesanan tiket untuk oktober mulai bisa dipesan kapan ya
219,219,9/25/2021,netral,syarat,hai min untuk layanan rapid antigen di stasiun pasar senen layanannya jam berapa
220,220,9/25/2021,netral,ticketing,min aplikasi kai access saat ini trouble
221,221,9/25/2021,netral,lain,punya pasar temennya kang mus
222,222,9/25/2021,netral,lain,good news ini di semua rute kereta executive kah
223,223,9/25/2021,netral,lain,preman kancil
224,224,9/25/2021,netral,lain,cek dm saya min terima kasih
225,225,9/25/2021,netral,syarat,min mau nanya pelayanan swab di stasiun bekasi beroperasi dari jam berapa ya
226,226,9/25/2021,netral,jadwalrute,boleh info kereta bekasi bandung atau jakartabandung tanggal oktober beroperasi tiket bisa dipesan kapan terima kasih
227,227,9/25/2021,netral,lain,here is my rendition for the anniversary of special livery any thoughts in frame livery lokomotif livery gerbong
228,228,9/25/2021,netral,jadwalrute,kaligung kamandaka kapan min
229,229,9/25/2021,netral,syarat,swab antigen di gambir dari jam berapa sampai jam berapa
230,230,9/25/2021,netral,fasilitas,kenapa toilet wanita di kiri harusnya di kanan karenawoman always right eh
231,231,9/25/2021,netral,lain,aaa good news
232,232,9/25/2021,netral,jadwalrute,mantau kamandaka kaligung
233,233,9/25/2021,netral,syarat,min kalau punya tiket ka probowangi apa boleh swab antigen di stasiun
234,234,9/25/2021,netral,aturan,halo mau tanya di kereta meneraplikasian jaga jarak baris sisi penumpang
235,235,9/25/2021,netral,lain,oh ya good news kalo berlaku di semua stasiun
236,236,9/25/2021,positif,lain,mantap mimin
237,237,9/25/2021,netral,jadwalrute,halo tolong kai pangrango di aktifkan kembali thank you
238,238,9/25/2021,netral,lain,hampir semua stasiun berlaku kak kalo merujuk laman resmi sosmednya
239,239,9/25/2021,netral,lain,cuma kereta di atas mas seperti dibahas di threadnya
240,240,9/25/2021,netral,lain,turun
241,241,9/25/2021,netral,fasilitas,sayangnya layanan bantal dan selimut tidak lagi free
242,242,9/25/2021,netral,ticketing,malam min mohon maaf mohon penjelasannya setelah update terbaru kai access untuk pilih kursi selalu time out terima kasih
243,243,9/25/2021,netral,lain,alhamdulillah terima kasih semoga bisa diberlakukan di semua stasiun tidak cuma di jakarta
244,244,9/25/2021,netral,lain,daerah beling teas siga rel
245,245,9/25/2021,netral,fasilitas,gerbong untuk sepeda kapan dibuka untuk semua rute
246,246,9/25/2021,netral,lain,min tolong bales dm ya
247,247,9/25/2021,netral,lain,pfft
248,248,9/25/2021,netral,lain,adain lowongan jadi masinis untuk wanita
249,249,9/25/2021,netral,lain,ditunggu min
250,250,9/25/2021,netral,aturan,malem mim mau tanya kalo di ka lokal merak boleh bawa sepeda lipat
251,251,9/25/2021,netral,jadwalrute,min mau tanya durasi perjalanan jam menit itu surabaya malang lewat jalur mana
252,252,9/25/2021,netral,jadwalrute,kangen banget naik kereta anak masih belum boleh naik kereta lagi ya min
253,253,9/25/2021,netral,lain,oke sama
254,254,9/25/2021,netral,lain,wih
255,255,9/25/2021,netral,lain,sampai detik ini aku juga belum bisa loh
256,256,9/25/2021,netral,aturan,min kapan kira kira anak anak di bawah diperbolehkan naik kereta api kota lagi
257,257,9/25/2021,netral,lain,selamat malam min tolong cek dm terima kasih
258,258,9/25/2021,netral,syarat,min rapid test di stasiun tegal buka dari jam berapa sampai jam berapa dan untuk persyaratan kartu vaksin harus dengan kartu atau bisa scan dari aplikasi pedulilindungi terima kasih
259,259,9/25/2021,netral,fasilitas,pakai wifi on board gimana min langsung connect aja atau ada ketentuan khusus
260,260,9/25/2021,netral,syarat,min kalo mau naik kereta lokal tapi belum vaksin dan tidak punya surat keterangan dari rumah sakit bisa pakai surat test swab antigen
261,261,9/25/2021,netral,lain,min mohon balas dm min
262,262,9/25/2021,netral,lain,bisa nonton drakor
263,263,9/25/2021,netral,fasilitas,min ini ka singasari apa tidak di padamin lampunya kalo udah waktunya istirahat susah mau tidur kayaknya naik argo selalu dipadamin deh
264,264,9/25/2021,netral,aturan,dari gambar bangku untuk orang setiap barisnya hanya bisa diisi satu orang ada larangan duduk bangku untuk orang ada tanpa larangan apapun bangku dapat diisi full dengan orang terima kasih
